country,year,gender,age,pct_year_t_log_earnings,avg_pct_year_t_1_log_inc,avg_pct_year_t_5_log_inc
IRL,2004,All genders,25-34,2.5,7.1369839,24.90394
IRL,2004,All genders,25-34,5,9.6714048,25.506201
IRL,2004,All genders,25-34,7.5,11.73868,26.497129
IRL,2004,All genders,25-34,10,13.52685,27.684441
IRL,2004,All genders,25-34,12.5,14.8707,27.767469
IRL,2004,All genders,25-34,15,16.84798,27.98345
IRL,2004,All genders,25-34,17.5,17.84358,30.621189
IRL,2004,All genders,25-34,20,20.492279,31.38895
IRL,2004,All genders,25-34,22.5,21.935261,33.485142
IRL,2004,All genders,25-34,25,24.581921,33.245319
IRL,2004,All genders,25-34,27.5,27.42478,33.740791
IRL,2004,All genders,25-34,30,29.56921,35.357231
IRL,2004,All genders,25-34,32.5,32.69989,37.13525
IRL,2004,All genders,25-34,35,34.083469,37.999031
IRL,2004,All genders,25-34,37.5,36.318298,38.09428
IRL,2004,All genders,25-34,40,39.307789,41.157169
IRL,2004,All genders,25-34,42.5,41.471889,41.576511
IRL,2004,All genders,25-34,45,42.716431,43.08609
IRL,2004,All genders,25-34,47.5,45.46291,44.11845
IRL,2004,All genders,25-34,50,47.973671,45.114262
IRL,2004,All genders,25-34,52.5,50.508801,47.506229
IRL,2004,All genders,25-34,55,53.024719,47.78537
IRL,2004,All genders,25-34,57.5,54.574581,51.66172
IRL,2004,All genders,25-34,60,57.142639,52.48613
IRL,2004,All genders,25-34,62.5,59.465961,55.406872
IRL,2004,All genders,25-34,65,61.82663,55.701401
IRL,2004,All genders,25-34,67.5,64.718033,58.283669
IRL,2004,All genders,25-34,70,66.640373,60.58065
IRL,2004,All genders,25-34,72.5,69.484306,61.162682
IRL,2004,All genders,25-34,75,71.750809,63.47467
IRL,2004,All genders,25-34,77.5,74.110229,66.267036
IRL,2004,All genders,25-34,80,76.930122,68.096909
IRL,2004,All genders,25-34,82.5,78.881767,71.856583
IRL,2004,All genders,25-34,85,81.844002,72.189178
IRL,2004,All genders,25-34,87.5,84.167557,74.150772
IRL,2004,All genders,25-34,90,86.208351,76.741737
IRL,2004,All genders,25-34,92.5,89.543327,78.971184
IRL,2004,All genders,25-34,95,91.587738,81.20517
IRL,2004,All genders,25-34,97.5,94.711143,83.7127
IRL,2004,All genders,25-34,99,97.044456,85.921593
IRL,2004,All genders,25-34,99.90000000000001,98.83606,89.248718
IRL,2004,All genders,25-34,100,99.886307,85.688179
IRL,2004,All genders,25-55,2.5,6.4439402,21.923519
IRL,2004,All genders,25-55,5,8.6169968,22.15346
IRL,2004,All genders,25-55,7.5,10.66102,23.61154
IRL,2004,All genders,25-55,10,12.37775,24.135509
IRL,2004,All genders,25-55,12.5,14.14154,24.42745
IRL,2004,All genders,25-55,15,15.93477,25.528931
IRL,2004,All genders,25-55,17.5,17.664631,27.458151
IRL,2004,All genders,25-55,20,20.150181,28.16172
IRL,2004,All genders,25-55,22.5,22.1416,29.831381
IRL,2004,All genders,25-55,25,24.492649,30.63427
IRL,2004,All genders,25-55,27.5,26.94451,31.83353
IRL,2004,All genders,25-55,30,29.21703,33.26366
IRL,2004,All genders,25-55,32.5,32.05669,34.755482
IRL,2004,All genders,25-55,35,33.915958,35.92506
IRL,2004,All genders,25-55,37.5,36.171848,37.296219
IRL,2004,All genders,25-55,40,38.874981,38.877289
IRL,2004,All genders,25-55,42.5,40.983639,40.926319
IRL,2004,All genders,25-55,45,42.979172,42.42992
IRL,2004,All genders,25-55,47.5,45.65147,44.458279
IRL,2004,All genders,25-55,50,47.78418,45.737999
IRL,2004,All genders,25-55,52.5,50.475182,47.36512
IRL,2004,All genders,25-55,55,52.99334,49.503868
IRL,2004,All genders,25-55,57.5,55.079311,51.95211
IRL,2004,All genders,25-55,60,57.570141,53.488201
IRL,2004,All genders,25-55,62.5,59.73613,55.80468
IRL,2004,All genders,25-55,65,62.32753,57.053921
IRL,2004,All genders,25-55,67.5,64.890457,59.4604
IRL,2004,All genders,25-55,70,67.232651,61.957439
IRL,2004,All genders,25-55,72.5,69.612457,63.344379
IRL,2004,All genders,25-55,75,72.390106,66.481781
IRL,2004,All genders,25-55,77.5,74.675171,68.767151
IRL,2004,All genders,25-55,80,77.39064,70.709923
IRL,2004,All genders,25-55,82.5,79.670578,73.998383
IRL,2004,All genders,25-55,85,82.380676,74.918457
IRL,2004,All genders,25-55,87.5,84.665222,77.722954
IRL,2004,All genders,25-55,90,87.186172,80.220032
IRL,2004,All genders,25-55,92.5,89.928978,82.463013
IRL,2004,All genders,25-55,95,92.315559,85.060699
IRL,2004,All genders,25-55,97.5,95.094582,86.604179
IRL,2004,All genders,25-55,99,97.273392,89.768089
IRL,2004,All genders,25-55,99.90000000000001,99.040443,92.53714
IRL,2004,All genders,25-55,100,99.907997,90.192017
IRL,2004,All genders,35-44,2.5,6.1280608,20.198931
IRL,2004,All genders,35-44,5,8.1550608,20.216459
IRL,2004,All genders,35-44,7.5,10.26799,22.448839
IRL,2004,All genders,35-44,10,12.21995,21.910749
IRL,2004,All genders,35-44,12.5,14.33231,22.571039
IRL,2004,All genders,35-44,15,15.73138,24.32542
IRL,2004,All genders,35-44,17.5,17.633129,25.96174
IRL,2004,All genders,35-44,20,19.824711,26.790091
IRL,2004,All genders,35-44,22.5,22.578011,27.493059
IRL,2004,All genders,35-44,25,24.497431,29.37841
IRL,2004,All genders,35-44,27.5,26.857281,30.997511
IRL,2004,All genders,35-44,30,28.92527,32.267639
IRL,2004,All genders,35-44,32.5,31.87501,33.21851
IRL,2004,All genders,35-44,35,33.87751,34.793919
IRL,2004,All genders,35-44,37.5,36.207211,36.935959
IRL,2004,All genders,35-44,40,38.582729,37.09169
IRL,2004,All genders,35-44,42.5,40.824581,41.196709
IRL,2004,All genders,35-44,45,42.992699,42.412472
IRL,2004,All genders,35-44,47.5,45.90131,44.36216
IRL,2004,All genders,35-44,50,47.54496,45.874241
IRL,2004,All genders,35-44,52.5,50.333431,46.79702
IRL,2004,All genders,35-44,55,52.65041,50.79287
IRL,2004,All genders,35-44,57.5,55.276211,51.497799
IRL,2004,All genders,35-44,60,57.524109,53.934971
IRL,2004,All genders,35-44,62.5,60.032139,55.558529
IRL,2004,All genders,35-44,65,62.321308,57.598549
IRL,2004,All genders,35-44,67.5,64.741882,59.8764
IRL,2004,All genders,35-44,70,67.446121,62.400459
IRL,2004,All genders,35-44,72.5,69.742157,64.555183
IRL,2004,All genders,35-44,75,72.806389,68.090927
IRL,2004,All genders,35-44,77.5,74.788429,70.47406
IRL,2004,All genders,35-44,80,77.665207,72.469238
IRL,2004,All genders,35-44,82.5,80.10714,75.409203
IRL,2004,All genders,35-44,85,82.575508,76.005119
IRL,2004,All genders,35-44,87.5,84.575287,79.56308
IRL,2004,All genders,35-44,90,87.54789,82.049507
IRL,2004,All genders,35-44,92.5,89.94239,84.464699
IRL,2004,All genders,35-44,95,92.54126,87.676399
IRL,2004,All genders,35-44,97.5,95.090393,88.149986
IRL,2004,All genders,35-44,99,97.469643,92.575684
IRL,2004,All genders,35-44,99.90000000000001,99.212753,94.590843
IRL,2004,All genders,35-44,100,99.910698,92.425056
IRL,2004,All genders,45-55,2.5,5.7840252,18.688869
IRL,2004,All genders,45-55,5,7.598145,18.53632
IRL,2004,All genders,45-55,7.5,9.5141268,19.469919
IRL,2004,All genders,45-55,10,10.79623,20.62965
IRL,2004,All genders,45-55,12.5,12.75088,20.70196
IRL,2004,All genders,45-55,15,14.78357,22.445339
IRL,2004,All genders,45-55,17.5,17.428261,23.31514
IRL,2004,All genders,45-55,20,20.05599,23.66617
IRL,2004,All genders,45-55,22.5,21.874929,26.356319
IRL,2004,All genders,45-55,25,24.346399,27.33098
IRL,2004,All genders,45-55,27.5,26.31365,29.2005
IRL,2004,All genders,45-55,30,29.06229,30.58329
