country,year,gender,age,share_first_quintile_inc,share_second_quintile_inc,share_third_quintile_inc,share_fourth_quintile_inc,share_fifth_quintile_inc,share_bottom50_inc,share_top10_pct_inc,share_top5_pct_inc,share_top1_pct_inc,share_top0_5_pct_inc,share_top0_1_pct_inc,share_top0_01_pct_inc,gini_coefficient,nobs_log_inc,mean_log_inc,std_log_inc,p1_log_inc,p2_5_log_inc,p5_log_inc,p10_log_inc,p12_5_log_inc,p25_log_inc,p37_5_log_inc,p50_log_inc,p62_5_log_inc,p75_log_inc,p87_5_log_inc,p90_log_inc,p95_log_inc,p97_5_log_inc,p99_log_inc,p99_9_log_inc,p99_99_log_inc,p9010_log_inc,p9050_log_inc,p5010_log_inc,kelley_log_inc,crows_log_inc,nobs_res_log_inc,mean_res_log_inc,std_res_log_inc,p1_res_log_inc,p2_5_res_log_inc,p5_res_log_inc,p10_res_log_inc,p12_5_res_log_inc,p25_res_log_inc,p37_5_res_log_inc,p50_res_log_inc,p62_5_res_log_inc,p75_res_log_inc,p87_5_res_log_inc,p90_res_log_inc,p95_res_log_inc,p97_5_res_log_inc,p99_res_log_inc,p99_9_res_log_inc,p99_99_res_log_inc,p9010_res_log_inc,p9050_res_log_inc,p5010_res_log_inc,kelley_res_log_inc,crows_res_log_inc,nobs_log_perm_inc,mean_log_perm_inc,std_log_perm_inc,p1_log_perm_inc,p2_5_log_perm_inc,p5_log_perm_inc,p10_log_perm_inc,p12_5_log_perm_inc,p25_log_perm_inc,p37_5_log_perm_inc,p50_log_perm_inc,p62_5_log_perm_inc,p75_log_perm_inc,p87_5_log_perm_inc,p90_log_perm_inc,p95_log_perm_inc,p97_5_log_perm_inc,p99_log_perm_inc,p99_9_log_perm_inc,p99_99_log_perm_inc,p9010_log_perm_inc,p9050_log_perm_inc,p5010_log_perm_inc,kelley_log_perm_inc,crows_log_perm_inc,share_below_mininc,nobs_earn_inc,mean_earn_inc,std_earn_inc,p1_earn_inc,p2_5_earn_inc,p5_earn_inc,p10_earn_inc,p12_5_earn_inc,p25_earn_inc,p37_5_earn_inc,p50_earn_inc,p62_5_earn_inc,p75_earn_inc,p87_5_earn_inc,p90_earn_inc,p95_earn_inc,p97_5_earn_inc,p99_earn_inc,p99_9_earn_inc,p99_99_earn_inc,p9010_earn_inc,p9050_earn_inc,p5010_earn_inc,kelley_earn_inc,crows_earn_inc,nobs_res_1yr_log_chg,mean_res_1yr_log_chg,std_res_1yr_log_chg,skew_res_1yr_log_chg,kurt_res_1yr_log_chg,p1_res_1yr_log_chg,p2_5_res_1yr_log_chg,p5_res_1yr_log_chg,p10_res_1yr_log_chg,p12_5_res_1yr_log_chg,p25_res_1yr_log_chg,p37_5_res_1yr_log_chg,p50_res_1yr_log_chg,p62_5_res_1yr_log_chg,p75_res_1yr_log_chg,p87_5_res_1yr_log_chg,p90_res_1yr_log_chg,p95_res_1yr_log_chg,p97_5_res_1yr_log_chg,p99_res_1yr_log_chg,p99_9_res_1yr_log_chg,p99_99_res_1yr_log_chg,p9010_res_1yr_log_chg,p9050_res_1yr_log_chg,p5010_res_1yr_log_chg,kelley_res_1yr_log_chg,crows_res_1yr_log_chg,nobs_res_5yr_log_chg,mean_res_5yr_log_chg,std_res_5yr_log_chg,skew_res_5yr_log_chg,kurt_res_5yr_log_chg,p1_res_5yr_log_chg,p2_5_res_5yr_log_chg,p5_res_5yr_log_chg,p10_res_5yr_log_chg,p12_5_res_5yr_log_chg,p25_res_5yr_log_chg,p37_5_res_5yr_log_chg,p50_res_5yr_log_chg,p62_5_res_5yr_log_chg,p75_res_5yr_log_chg,p87_5_res_5yr_log_chg,p90_res_5yr_log_chg,p95_res_5yr_log_chg,p97_5_res_5yr_log_chg,p99_res_5yr_log_chg,p99_9_res_5yr_log_chg,p99_99_res_5yr_log_chg,p9010_res_5yr_log_chg,p9050_res_5yr_log_chg,p5010_res_5yr_log_chg,kelley_res_5yr_log_chg,crows_res_5yr_log_chg,nobs_arcpct_1yr_chg,mean_arcpct_1yr_chg,std_arcpct_1yr_chg,skew_arcpct_1yr_chg,kurt_arcpct_1yr_chg,p1_arcpct_1yr_chg,p2_5_arcpct_1yr_chg,p5_arcpct_1yr_chg,p10_arcpct_1yr_chg,p12_5_arcpct_1yr_chg,p25_arcpct_1yr_chg,p37_5_arcpct_1yr_chg,p50_arcpct_1yr_chg,p62_5_arcpct_1yr_chg,p75_arcpct_1yr_chg,p87_5_arcpct_1yr_chg,p90_arcpct_1yr_chg,p95_arcpct_1yr_chg,p97_5_arcpct_1yr_chg,p99_arcpct_1yr_chg,p99_9_arcpct_1yr_chg,p99_99_arcpct_1yr_chg,p9010_arcpct_1yr_chg,p9050_arcpct_1yr_chg,p5010_arcpct_1yr_chg,kelley_arcpct_1yr_chg,crows_arcpct_1yr_chg,nobs_arcpct_5yr_chg,mean_arcpct_5yr_chg,std_arcpct_5yr_chg,skew_arcpct_5yr_chg,kurt_arcpct_5yr_chg,p1_arcpct_5yr_chg,p2_5_arcpct_5yr_chg,p5_arcpct_5yr_chg,p10_arcpct_5yr_chg,p12_5_arcpct_5yr_chg,p25_arcpct_5yr_chg,p37_5_arcpct_5yr_chg,p50_arcpct_5yr_chg,p62_5_arcpct_5yr_chg,p75_arcpct_5yr_chg,p87_5_arcpct_5yr_chg,p90_arcpct_5yr_chg,p95_arcpct_5yr_chg,p97_5_arcpct_5yr_chg,p99_arcpct_5yr_chg,p99_9_arcpct_5yr_chg,p99_99_arcpct_5yr_chg,p9010_arcpct_5yr_chg,p9050_arcpct_5yr_chg,p5010_arcpct_5yr_chg,kelley_arcpct_5yr_chg,crows_arcpct_5yr_chg,autocorr_lag1_res_log_inc,autocorr_lag2_res_log_inc,autocorr_lag3_res_log_inc,autocorr_lag4_res_log_inc,autocorr_lag5_res_log_inc,autocorr_lag1_res_1yr_log_chg,autocorr_lag2_res_1yr_log_chg,autocorr_lag3_res_1yr_log_chg,autocorr_lag4_res_1yr_log_chg,autocorr_lag5_res_1yr_log_chg,Pareto_tail_index_5pct,Pareto_tail_index_1pct
IRL,2011,All genders,25,,,,,,,,,,,,,,3594,9.6683893,0.69272488,7.8554468,8.0841455,8.3109074,8.6180487,8.7548513,9.250494,9.5885077,9.8148918,9.9799585,10.15755,10.39292,10.45809,10.62826,10.72541,10.87174,11.2149,12.64787,1.8400412,0.64319801,1.1968431,-0.30088738,2.9119098,3594,4.63E-09,0.69227129,-1.814873,-1.573945,-1.3557661,-1.042207,-0.92411131,-0.4097614,-0.084353402,0.1474525,0.30668849,0.48320311,0.72195458,0.79031402,0.96349359,1.058253,1.177189,1.521963,2.9517119,1.832521,0.64286149,1.1896595,-0.29838568,2.9477074,,,,,,,,,,,,,,,,,,,,,,,,,,0,3594,19463.619,12592.08,2579.749,3242.6499,4068.0039,5530.583,6341.3789,10409.7,14596.08,18304.311,21589.439,25785.1,32627.92,34824.891,41285.109,45497.551,52666.539,74228.461,311101.31,29294.309,16520.58,12773.728,0.12790377,2.748215,3237,0.2578243,0.64250791,-0.49533501,6.4279342,-1.734192,-1.3005691,-0.8857218,-0.41490579,-0.23550759,0.093678802,0.1605708,0.20971841,0.29235691,0.49224991,0.91455019,1.057891,1.374597,1.602971,1.96057,2.422178,2.801857,1.4727968,0.84817261,0.62462419,0.15178497,7.2848735,2660,0.1100556,0.81780708,-0.099458396,4.7788649,-2.4009769,-1.631646,-1.151495,-0.74700272,-0.63094211,-0.28078189,-0.1190002,0.0255716,0.2252467,0.51302522,1.0266089,1.18276,1.5522,1.855675,2.226753,2.907686,3.01723,1.9297627,1.1571884,0.77257431,0.19930643,4.3931594,5200,0.34156609,1.232107,-0.017802799,2.131295,-2,-2,-2,-1.272967,-0.91849792,-0.2856594,-0.18433841,-0.038245801,0.47017711,2,2,2,2,2,2,2,2,3.2729669,2.0382459,1.2347212,0.24550347,1.750042,5851,0.30121091,1.511667,-0.1814062,1.597073,-2,-2,-2,-2,-2,-0.76621389,-0.36802629,0.092736103,1.376313,2,2,2,2,2,2,2,2,4,1.9072639,2.092736,-0.046368033,1.4460198,,,,,,,,,,,,
IRL,2012,All genders,25,,,,,,,,,,,,,,3277,9.6414719,0.70399839,7.8643861,8.0559101,8.2581453,8.5931206,8.7206287,9.1796274,9.5401831,9.7740545,9.9669409,10.16107,10.40787,10.46173,10.61152,10.69853,10.83983,11.04724,11.32629,1.8686094,0.68767548,1.180934,-0.26397088,2.6925879,3277,8.04E-10,0.70370978,-1.771862,-1.57979,-1.390106,-1.054032,-0.91343492,-0.46583009,-0.1084473,0.1342012,0.32523891,0.52011311,0.76149249,0.82298923,0.97874182,1.057375,1.192664,1.424551,1.663186,1.8770212,0.68878806,1.1882331,-0.26608387,2.6747637,,,,,,,,,,,,,,,,,,,,,,,,,,0,3277,19038.23,11428.2,2602.9121,3152.3701,3858.9299,5394.4199,6128.0298,9697.5371,13907.5,17571.881,21310.211,25875.939,33119.129,34951.949,40599.691,44290.629,51012.898,62770.719,82974.227,29557.529,17380.068,12177.461,0.17601632,2.5427887,3015,0.26669931,0.66088998,-0.53447062,6.5748029,-1.815076,-1.351629,-0.85108119,-0.3532804,-0.2099624,0.075184502,0.1387164,0.1965766,0.28853479,0.51877367,0.99416322,1.124228,1.41986,1.672495,1.897606,2.373601,2.811898,1.4775084,0.92765141,0.54985702,0.25569695,6.8173981,2581,0.1128347,0.82388508,-0.25352931,4.6871152,-2.3260069,-1.705377,-1.269215,-0.77233899,-0.60797989,-0.28263801,-0.13988911,0.034372199,0.27108181,0.5702635,1.038245,1.171048,1.5435621,1.826728,2.113961,2.64094,3.025712,1.943387,1.1366758,0.8067112,0.16978844,4.1412811,4785,0.37890401,1.21466,-0.0067813,2.095047,-2,-2,-2,-1.039809,-0.74315339,-0.33030701,-0.2007439,-0.028772401,0.60844362,2,2,2,2,2,2,2,2,3.039809,2.0287724,1.0110366,0.33480254,1.7165121,5444,0.38178641,1.471729,-0.2221771,1.636086,-2,-2,-2,-2,-2,-0.68244398,-0.35036299,0.2205919,1.727693,2,2,2,2,2,2,2,2,4,1.7794081,2.220592,-0.11029598,1.4911774,,,,,,,,,,,,
IRL,2013,All genders,25,,,,,,,,,,,,,,3086,9.5857906,0.69940507,7.8391228,8.007123,8.240346,8.5759449,8.6768513,9.1192846,9.4664946,9.7172852,9.9095459,10.10629,10.35204,10.42039,10.55518,10.6452,10.8076,11.09669,11.1355,1.8444452,0.70310497,1.1413403,-0.23759735,2.6728094,3086,-4.39E-09,0.69877899,-1.751515,-1.567349,-1.347144,-1.031203,-0.91422832,-0.46216291,-0.118832,0.131301,0.32154861,0.51537049,0.76237363,0.83385962,0.97307789,1.074579,1.202974,1.481114,1.577947,1.8650627,0.70255864,1.1625041,-0.24661125,2.7026472,,,,,,,,,,,,,,,,,,,,,,,,,,0,3086,17997.141,10918.3,2537.978,3002.2661,3790.8521,5302.5601,5865.5479,9129.6689,12919.51,16602.1,20121.529,24496.52,31320.859,33536.551,38375.828,41990.441,49394.879,65952.156,68562.656,28233.99,16934.451,11299.539,0.19957902,2.5371611,2865,0.29182729,0.65547317,-0.3643088,5.854732,-1.709282,-1.248655,-0.88552219,-0.35677299,-0.1956304,0.085987702,0.1498543,0.2201744,0.32199711,0.54393637,1.032373,1.15157,1.471011,1.702552,1.905196,2.4221179,2.453898,1.508343,0.93139553,0.57694739,0.23499174,6.4444056,2450,0.1259871,0.82264698,-0.039317001,3.9836249,-2.129492,-1.574446,-1.259483,-0.80954838,-0.65555,-0.2901606,-0.1313519,0.028826,0.26188609,0.59382403,1.077034,1.230792,1.59461,1.870288,2.1556981,2.4858479,2.5678079,2.0403404,1.201966,0.83837438,0.17820147,3.8968256,4808,0.47252691,1.2392401,-0.0499321,1.896454,-2,-2,-2,-0.89964169,-0.6919021,-0.3560077,-0.23351429,0.051054802,0.89491647,2,2,2,2,2,2,2,2,2.8996418,1.9489452,0.95069647,0.34426621,1.6977873,5358,0.4350256,1.483513,-0.26297501,1.604809,-2,-2,-2,-2,-1.932261,-0.68788898,-0.3547892,0.35557789,2,2,2,2,2,2,2,2,2,4,1.6444221,2.3555779,-0.17778897,1.4881567,,,,,,,,,,,,
IRL,2014,All genders,25,,,,,,,,,,,,,,3431,9.5881491,0.69471508,7.8388009,7.9998341,8.2185831,8.5421972,8.7047157,9.1483326,9.4621668,9.7210932,9.9219503,10.11102,10.33712,10.39407,10.52628,10.63035,10.7868,11.12096,11.46505,1.8518724,0.67297649,1.178896,-0.27319348,2.7324715,3431,3.63E-09,0.69345027,-1.722963,-1.58086,-1.369306,-1.037479,-0.90212661,-0.4380478,-0.1197312,0.1396177,0.32582819,0.52127802,0.73730719,0.80819869,0.93398821,1.038287,1.175959,1.501122,1.833402,1.8456777,0.66858101,1.1770967,-0.27551708,2.7301955,,,,,,,,,,,,,,,,,,,,,,,,,,0,3431,17963.15,10765.37,2537.1621,2980.4609,3709.2419,5126.5952,6031.2881,9398.7568,12863.73,16665.461,20372.689,24612.68,30857.07,32665.461,37282.41,41371.621,48377.969,67572.539,95325.523,27538.865,16000,11538.865,0.16199414,2.5234227,3230,0.2644679,0.63299477,-0.36205009,5.5130811,-1.699759,-1.212108,-0.82445371,-0.3903462,-0.24072079,0.042618699,0.1194083,0.2013475,0.3216581,0.5522334,0.96561152,1.0926991,1.368996,1.5932159,1.827108,2.292392,2.422503,1.4830452,0.89135158,0.5916937,0.2020558,5.5047941,2658,0.093497097,0.81164747,-0.2188445,4.6335559,-2.122335,-1.611552,-1.210187,-0.77405769,-0.64512652,-0.3316488,-0.1662349,0.023345901,0.241082,0.56953597,1.031087,1.165233,1.514136,1.792399,2.0728559,2.485728,2.8214231,1.9392908,1.1418871,0.79740357,0.17763375,3.7771955,5157,0.4360747,1.1963069,0.036472101,1.970956,-2,-2,-1.597028,-0.85943961,-0.66670352,-0.34848231,-0.2170255,0.040584799,0.70332652,2,2,2,2,2,2,2,2,2.8594396,1.9594152,0.90002441,0.37048894,1.7032276,5554,0.32994339,1.475299,-0.18767241,1.639518,-2,-2,-2,-2,-2,-0.71533781,-0.3618505,0.1782631,1.293177,2,2,2,2,2,2,2,2,4,1.8217369,2.1782632,-0.089131564,1.4731132,,,,,,,,,,,,
IRL,2015,All genders,25,,,,,,,,,,,,,,3977,9.5969791,0.68970257,7.884016,8.0541048,8.2552128,8.5729752,8.6896973,9.1527176,9.4705496,9.7285023,9.9199228,10.11188,10.34063,10.39394,10.52549,10.64744,10.82637,11.25304,12.42002,1.8209648,0.6654377,1.1555271,-0.26913723,2.7037489,3977,-1.73E-10,0.68895948,-1.7003829,-1.5391231,-1.339129,-1.031334,-0.90883982,-0.4452455,-0.1228844,0.1240887,0.32808039,0.50762302,0.7369855,0.79623061,0.93028772,1.0494291,1.228138,1.687433,2.7903979,1.8275647,0.67214191,1.1554227,-0.26443976,2.716589,,,,,,,,,,,,,,,,,,,,,,,,,,0,3977,18138.869,11534.29,2654.511,3146.6851,3847.6299,5286.835,5941.3862,9440.0557,12972.01,16789.381,20331.42,24633.91,30965.6,32660.98,37252.922,42084.898,50330.828,77113.961,247711.7,27374.145,15871.6,11502.546,0.15960513,2.5627608,3627,0.27467301,0.6763975,-0.367019,5.2771912,-1.845902,-1.294789,-0.91246819,-0.43203589,-0.28597769,0.035106499,0.1198803,0.198939,0.3362883,0.59208637,1.0617,1.176134,1.404124,1.64543,1.941046,2.661988,2.9593959,1.6081699,0.97719502,0.63097489,0.21528828,5.2788601,2826,0.065613098,0.8137902,-0.050770499,4.232614,-2.2015531,-1.599624,-1.292539,-0.84474689,-0.70987678,-0.35745209,-0.17635889,0.0015111,0.22420619,0.51413798,0.97970557,1.100521,1.458691,1.808849,2.1660891,2.631027,2.95913,1.9452679,1.0990099,0.84625798,0.12993166,3.9106376,5985,0.42008069,1.2473249,-0.066863596,1.984497,-2,-2,-2,-1.10964,-0.83120668,-0.35325539,-0.2218501,0.074997403,0.74494898,2,2,2,2,2,2,2,2,3.1096401,1.9250026,1.1846374,0.23808709,1.699773,6155,0.2007018,1.524042,-0.1106789,1.582463,-2,-2,-2,-2,-2,-0.95069063,-0.42276669,0.0282575,0.93096799,2,2,2,2,2,2,2,2,4,1.9717425,2.0282576,-0.014128774,1.3556148,,,,,,,,,,,,
IRL,2016,All genders,25,,,,,,,,,,,,,,4014,9.6455746,0.66290629,7.943903,8.1468801,8.3518696,8.677371,8.7881804,9.229002,9.520093,9.7614164,9.9584484,10.13339,10.35844,10.41412,10.53103,10.66642,10.83215,11.18705,11.58863,1.7367487,0.65270329,1.0840454,-0.24836186,2.7859046,4014,6.43E-09,0.66240633,-1.70076,-1.4973249,-1.292749,-0.97229421,-0.84495682,-0.4133867,-0.1229242,0.1184846,0.31241661,0.49055731,0.71491778,0.77025282,0.8939358,1.015304,1.182964,1.5256079,1.91748,1.742547,0.65176821,1.0907788,-0.25193617,2.779629,,,,,,,,,,,,,,,,,,,,,,,,,,0,4014,18728.42,10968.44,2818.3391,3452.592,4238.0962,5868.5991,6556.2939,10188.37,13630.88,17351.189,21129.98,25169.43,31522.039,33326.988,37460.211,42891.191,50622.211,72189.813,107864.2,27458.389,15975.799,11482.59,0.16363703,2.6325641,3611,0.29615861,0.67181659,-0.4925473,5.4899411,-1.776745,-1.2685699,-0.87778151,-0.4601323,-0.29954001,0.062180098,0.15500601,0.2318472,0.3710703,0.64118707,1.047066,1.16238,1.439713,1.637049,1.837712,2.5242,2.6235681,1.6225123,0.93053281,0.69197953,0.14702711,5.0182796,2969,0.058921501,0.80825919,-0.1317246,4.2449331,-2.244251,-1.688766,-1.301893,-0.89256692,-0.74695909,-0.36048049,-0.16148791,0.0041338,0.2388493,0.53774887,0.96229988,1.078967,1.426731,1.7022949,1.995856,2.757771,3.660619,1.9715339,1.0748332,0.89670074,0.090352193,3.7752728,6241,0.43703231,1.278299,-0.1229428,1.945731,-2,-2,-2,-1.193505,-0.92688322,-0.35814309,-0.2217015,0.1240821,0.84949708,2,2,2,2,2,2,2,2,3.193505,1.8759179,1.3175871,0.17483322,1.69625,6325,0.22166631,1.508497,-0.1072429,1.593526,-2,-2,-2,-2,-2,-0.87328303,-0.42708281,0.0362036,0.94689482,2,2,2,2,2,2,2,2,4,1.9637964,2.0362036,-0.018101811,1.3921357,,,,,,,,,,,,
IRL,2017,All genders,25,,,,,,,,,,,,,,3803,9.6850471,0.677396,7.934906,8.1586246,8.3915567,8.697526,8.8118715,9.2470236,9.5742521,9.8169489,9.9919767,10.17527,10.40896,10.4478,10.57257,10.72506,10.92517,11.65891,12.16149,1.7502737,0.63085079,1.1194229,-0.27914041,2.7648215,3803,3.02E-09,0.67672342,-1.74696,-1.529723,-1.288509,-0.98548388,-0.88020968,-0.4386366,-0.1123054,0.1379111,0.3122198,0.488619,0.71814358,0.77783507,0.89092952,1.0356719,1.225666,1.944136,2.4467211,1.763319,0.63992399,1.123395,-0.27418235,2.7666535,,,,,,,,,,,,,,,,,,,,,,,,,,0,3803,19677,12373.26,2793.0959,3493.3799,4409.6768,5988.0781,6713.479,10373.64,14389.47,18342,21850.461,26246.061,33155.461,34468.621,39049.102,45481.262,55557.5,115717.6,191279.91,28480.543,16126.621,12353.922,0.13246584,2.6453357,3606,0.30081111,0.67620349,-0.3301284,5.090126,-1.762922,-1.258081,-0.87575632,-0.43953019,-0.27381319,0.067155004,0.1509525,0.22845469,0.35430351,0.63685232,1.088993,1.1959161,1.478053,1.684222,1.9575911,2.4728429,2.7785361,1.6354463,0.96746135,0.6679849,0.18311603,5.1646776,2825,0.041370802,0.80529809,-0.12894259,3.9568019,-2.1168809,-1.710629,-1.315244,-0.89078772,-0.72629601,-0.38179839,-0.2093455,-0.0156055,0.2079547,0.51964128,0.98016012,1.093138,1.411724,1.689734,1.953925,2.6098149,2.800108,1.9839257,1.1087434,0.87518221,0.1177268,3.7721469,5829,0.48465139,1.208043,-0.0016532,1.862242,-2,-2,-1.458626,-0.85861307,-0.67253631,-0.3556385,-0.2277994,0.1173772,0.84440988,2,2,2,2,2,2,2,2,2.858613,1.8826228,0.9759903,0.31715819,1.6980534,4681,-0.075120002,1.354776,6.14E-05,1.923025,-2,-2,-2,-2,-2,-1.173342,-0.35544369,-0.063516103,0.31402609,0.90065843,2,2,2,2,2,2,2,4,2.0635161,1.9364839,0.03175807,1.9286399,,,,,,,,,,,,
IRL,2018,All genders,25,,,,,,,,,,,,,,3942,9.7277594,0.67547947,8.0219126,8.1836767,8.3916302,8.7377739,8.8650293,9.2939463,9.6130018,9.8549805,10.04585,10.22691,10.46633,10.50282,10.61837,10.74063,10.8989,11.46721,11.72032,1.7650461,0.64783955,1.1172066,-0.26592338,2.7406793,3942,-5.26E-10,0.67531317,-1.714698,-1.538839,-1.34426,-0.9917469,-0.85931778,-0.4312458,-0.1120729,0.1238421,0.32140431,0.4934473,0.74065578,0.78750902,0.89222813,1.011363,1.160879,1.7245359,1.977651,1.7792559,0.6636669,1.115589,-0.253995,2.7578902,,,,,,,,,,,,,,,,,,,,,,,,,,0,3942,20446.699,12076.43,3047,3582,4410,6234,7080,10872,14958,19053,23060,27637,35113,36418,40879,46195,54117,95531,123047,30184,17365,12819,0.1506096,2.5417836,3690,0.30043441,0.65179777,-0.2262675,4.9021769,-1.516299,-1.156762,-0.83331299,-0.38099709,-0.24182589,0.042451799,0.12515929,0.20164929,0.3502638,0.63485909,1.0832,1.183668,1.445515,1.636571,1.863901,2.4392071,2.7293651,1.5646651,0.98201871,0.58264637,0.25524461,4.7152238,,,,,,,,,,,,,,,,,,,,,,,,,,,,6159,0.5048191,1.226634,-0.054722499,1.8534009,-2,-2,-1.511353,-0.85074168,-0.66773921,-0.3754696,-0.2343595,0.16542751,0.93220019,2,2,2,2,2,2,2,2,2.8507416,1.8345726,1.0161692,0.28708437,1.6838776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,2019,All genders,25,,,,,,,,,,,,,,4051,9.8138561,0.65859681,8.0203581,8.2434912,8.5341339,8.882452,8.9946613,9.4094563,9.7195005,9.9507895,10.10958,10.2882,10.50563,10.54578,10.66079,10.79523,10.96022,11.40738,12.92284,1.6633282,0.59499073,1.0683374,-0.28457806,2.9038472,4051,-6.14E-09,0.65707058,-1.772386,-1.54343,-1.272522,-0.94156182,-0.82812291,-0.40544859,-0.1017934,0.13692179,0.30618691,0.4726209,0.68890691,0.73784947,0.84238648,0.96021581,1.145681,1.54995,3.065408,1.6794113,0.60092771,1.0784836,-0.2843591,2.8513072,,,,,,,,,,,,,,,,,,,,,,,,,,0,4051,22160.711,15491.34,3042.2671,3802.7939,5085.4248,7204.4312,8059.938,12203.23,16638.949,20968.77,24577.24,29383.891,36520.66,38016.48,42650.328,48787.488,57539.309,89983.258,409558.81,30812.049,17047.711,13764.338,0.10656133,2.6183333,3792,0.1881903,0.64818639,-0.41162089,5.2416372,-1.7507319,-1.3386281,-0.97082227,-0.51371467,-0.40795079,-0.042699698,0.080010898,0.1520343,0.25513229,0.48521811,0.91955912,1.047627,1.303749,1.479708,1.72442,2.277426,2.655817,1.5613416,0.89559269,0.66574895,0.14720912,5.3385887,,,,,,,,,,,,,,,,,,,,,,,,,,,,5783,0.35868111,1.199168,0.1042283,2.0271461,-2,-2,-1.8082989,-0.99396592,-0.78732008,-0.3599056,-0.2403554,-0.0422781,0.51493162,2,2,2,2,2,2,2,2,2.9939659,2.0422781,0.95168781,0.36426276,1.694983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,2020,All genders,25,,,,,,,,,,,,,,4137,9.8117142,0.68419212,7.9972548,8.2365856,8.5198812,8.832653,8.9361258,9.3510313,9.6891899,9.9556723,10.14027,10.30569,10.52837,10.56718,10.72134,10.85922,11.06854,11.57077,11.81656,1.7345266,0.61150742,1.1230192,-0.29489994,2.747196,4137,6.59E-10,0.68221098,-1.794552,-1.5631109,-1.315521,-0.98693287,-0.86557198,-0.45857999,-0.1204015,0.1430673,0.32524201,0.49394891,0.71678531,0.7712698,0.90380752,1.058255,1.245666,1.769363,1.953614,1.7582027,0.6282025,1.1300001,-0.28540373,2.7520068,,,,,,,,,,,,,,,,,,,,,,,,,,0,4137,22373.16,13644.96,2972.7859,3776.624,5013.459,6854.4482,7601.6919,11510.69,16142.16,21071.42,25343.23,29902.34,37360.699,38838.93,45312.68,52011.379,64121.531,105954.8,135478,31984.48,17767.51,14216.972,0.11100815,2.6226444,3935,0.2830146,0.62611538,-0.39845821,5.8735871,-1.61821,-1.1553169,-0.77474862,-0.36239961,-0.2360657,0.0571348,0.14216471,0.2225537,0.33449599,0.54711193,1.003849,1.11857,1.363934,1.560441,1.823835,2.4284949,2.734638,1.4809695,0.89601624,0.58495331,0.21004006,5.5426221,,,,,,,,,,,,,,,,,,,,,,,,,,,,6759,0.54858857,1.234632,-0.039742701,1.715518,-2,-2,-1.33998,-0.78711098,-0.64114767,-0.39463371,-0.24439131,0.1567241,1.308604,2,2,2,2,2,2,2,2,2.787111,1.8432759,0.94383508,0.32271439,1.6704016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
